,fips,area,population,percent_seniors,percent_poverty,percent_uninsured,income,vent,icu,percent_smoker,percent_inactive,population_density
236,16011,2093.787617,45551,13.68575882,12.43221883,10.95255867,21322,2,6,14.23834346,25.9,21.75531063
237,16013,2637.736876,21994,17.29562608,13.99017914,14.09020642,32861,1,4,12.90267483,14.6,8.338208485
238,16017,1733.210905,42711,22.95193276,14.5161668,11.49118494,27590,2,4,13.65392262,21,24.6427021
239,16019,1865.981399,112397,12.73432565,11.9504969,8.590976627,27272,9,74,13.56030486,20.2,60.23479123
240,16021,1268.681749,11549,21.06675903,16.52956966,19.04060958,25401,0,3,14.87052291,27.7,9.103149792
241,16023,2236.485794,2602,21.75249808,15.87240584,12.22136818,25941,0,2,13.16503865,29,1.163432384
242,16027,587.0437558,212230,13.17391509,14.96348301,14.64166235,20807,9,41,14.12930959,24.9,361.5233071
243,16029,1764.192992,6918,16.53657126,8.369470945,7.718993929,26908,1,4,12.88786973,24.5,3.92133969
244,16031,2565.607547,23615,13.64810502,14.12237984,15.53250053,21547,2,6,13.55494608,24.9,9.204447511
245,16035,2457.312277,8640,26.07638889,11.93287037,9.907407407,22844,2,4,13.48517567,25.6,3.516036639
246,16039,3075.077475,26433,12.91945674,13.29020543,10.65334998,23547,1,4,15.60428068,25.6,8.595880987
247,16041,663.0186513,13279,13.58536034,11.73281121,10.4074102,22367,0,3,13.21666176,27.6,20.02809419
248,16045,559.7693553,17052,21.27023223,18.12690593,16.9188365,20776,0,2,14.07110377,32.1,30.46254647
249,16047,729.3207624,15169,16.72489947,15.78877975,16.48757334,22542,2,3,14.63518419,28.2,20.79880456
250,16053,597.4712071,23431,12.52614058,17.65182877,19.5723614,20820,1,4,14.84588855,28.4,39.21695259
251,16055,1237.778872,153605,18.00266918,11.95924612,10.19367859,29429,12,76,14.21916987,19.9,124.0972871
252,16057,1075.866671,39239,12.57422462,18.89191875,6.868166875,25623,2,3,13.5649026,16.6,36.47199143
